beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,beer,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Generosity,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Positive affect,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Democratic Quality,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Life Ladder,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Log GDP per capita,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support,Social support
,4.1,4.19,4.32,3.96,4.03,4.04,4.17,4.24,4.22,4.4,4.59,4.76,4.95,5.13,5.19,5.25,5.15,5.18,5.06,5.21,5.08,5.12,5.01,5.0,4.94,4.87,4.83,4.91,4.82,4.71,4.58,4.43,4.38,4.4,4.34,4.33,4.24,4.2,4.3,,,,,,4.2,4.2,4.2,4.2,4.2,4.2,4.0,4.0,3.9,3.8,3.7,3.7,3.6,3.6,3.5,17909356.0,18271000.0,18614000.0,18964000.0,19325000.0,19678000.0,20048000.0,20412000.0,20744000.0,21028000.0,21324000.0,21962032.0,22218463.0,22491777.0,22807969.0,23143275.0,23449808.0,23725843.0,23963203.0,24201544.0,24515667.0,24819915.0,25116942.0,25366451.0,25607053.0,25842116.0,26100278.0,26446601.0,26791747.0,27276781.0,27691138.0,28037420.0,28371264.0,28684764.0,29000663.0,29302311.0,29610218.0,29905948.0,30155173.0,30401286.0,30685730.0,31020855.0,31359199.0,31642461.0,31938807.0,32242732.0,32571193.0,32888886.0,33247298.0,33630069.0,34005902.0,34339221.0,34713395.0,35080992.0,35434066.0,35704498.0,36110803.0,36545075.0,37072620.0,37618495.0,38028638.0,38239864.0,38939056.0,40097761.0,0.244575247,,0.241931677,0.254044443,0.238822356,0.223002359,0.245647863,0.282571763,0.308129936,0.262353837,0.245131716,0.203222767,0.155016169,0.097966127,0.957306266,,0.930341303,0.92631495,0.915057838,0.933948815,0.950925291,0.917961121,0.916013896,0.93889761,0.931468964,0.912423909,0.945145011,0.9457829,0.838543773,,0.871604204,0.890219748,0.867432535,0.878867686,0.88138485,0.856703699,0.851296902,0.833403885,0.845327616,0.824586391,0.862773478,0.823668659,1.168248773,,1.19576931,1.224689007,1.264292479,1.14445734,1.228660107,1.275260806,1.257454157,1.293931961,1.370862961,1.351965904,1.295283794,,7.418048382,,7.481752872,7.485603809,7.48782444,7.650346279,7.426053524,7.415144444,7.593793869,7.30425787,7.412772655,7.244845867,7.414868355,7.175496578,10.60834694,,10.63699436,10.63612556,10.59473801,10.6139679,10.63502026,10.64052105,10.6534729,10.67079449,10.67242527,10.67448139,10.69234467,10.70124817,0.961552441,,,0.938707411,0.94284451,0.953765452,0.921669245,0.948128343,0.936239362,0.917836308,0.939067066,0.924392521,0.93374896,0.922718763
,0.91,0.85,0.83,0.84,0.88,0.98,1.01,1.0,0.99,1.03,1.03,1.06,1.13,1.16,0.99,0.97,1.14,1.22,1.11,1.31,1.08,1.01,1.0,0.87,1.21,1.41,1.37,1.15,1.15,0.53,0.68,0.67,0.89,0.57,0.51,0.24,0.29,0.37,0.21,0.40994,0.36396,0.2928,0.26766,0.24976,0.21571,0.25787,0.27827,0.31215,0.30214,0.31,0.35,0.35,0.26,0.42,0.53,0.54,0.53,0.55,0.55,1679728.0,1710364.0,1742502.0,1776214.0,1811694.0,1849171.0,1888853.0,1930861.0,1975257.0,2021519.0,2067356.0,2111224.0,2153613.0,2195905.0,2239305.0,2283927.0,2318349.0,2342048.0,2365957.0,2390329.0,2415276.0,2441010.0,2467635.0,2495097.0,2523538.0,2553075.0,2583631.0,2615594.0,2657235.0,2724109.0,2809221.0,2898052.0,2991727.0,3089146.0,3187844.0,3276706.0,3363570.0,3458472.0,3555064.0,3655360.0,3759170.0,3844773.0,3930648.0,4026841.0,4115138.0,4208834.0,4294352.0,4375569.0,4467233.0,4564540.0,4660067.0,4732022.0,4773306.0,4802428.0,4798734.0,4819333.0,4904177.0,4996741.0,5094780.0,5209324.0,5343020.0,5457154.0,5579144.0,5742315.0,,,0.094876848,,,-0.016758975,0.00380958,,,,,0.053440392,0.093754359,,,,0.662871003,,,0.689950883,0.780017793,,,,,0.624056518,0.645252347,,,,0.567980289,,,0.523006201,0.524068475,,,,,0.578653812,0.613865197,,,,-1.468936801,,,-1.562421799,-1.438443661,,,,,-1.4378829,-1.523121834,,,,4.160129547,,,3.567892551,3.677826405,,,,,2.693061113,3.475862026,,,,6.753530502,,,6.781221867,6.807504654,,,,,6.465948105,6.494116783,,,,0.532296896,,,0.483333886,0.387390912,,,,,0.29018417,0.319589138,
,0.18,0.2,0.2,0.24,0.22,0.23,0.25,0.27,0.29,0.3,0.32,0.34,0.35,0.4,0.42,0.42,0.41,0.42,0.38,0.29,0.32,0.31,0.28,0.29,0.34,0.29,0.27,0.26,0.28,0.19,0.23,0.2,0.15,0.16,0.1,0.25,0.17,0.13,0.11,0.17222,0.17996,0.21938,0.24393,0.22783,0.23991,0.23094,0.26322,0.29464,0.30211,0.32,0.37,0.37,0.41,0.47,0.48,0.46,0.39,0.37,0.37,3028688.0,3087657.0,3148242.0,3210296.0,3273419.0,3336338.0,3398664.0,3461664.0,3526770.0,3595152.0,3667394.0,3742534.0,3824399.0,3912905.0,4000559.0,4084110.0,4163051.0,4238551.0,4313479.0,4402942.0,4408230.0,4409225.0,4622828.0,4859173.0,4920556.0,4967590.0,5118160.0,5300852.0,5483038.0,5670619.0,5827069.0,6042428.0,6302926.0,6448280.0,6592998.0,6888856.0,7200291.0,7450874.0,7709115.0,7981889.0,8259137.0,8538804.0,8838369.0,9196366.0,9613503.0,10005012.0,10365614.0,10722731.0,11098664.0,11496128.0,11894727.0,12317730.0,12754906.0,13216766.0,13697126.0,14140274.0,14592585.0,15085884.0,15604210.0,16126866.0,16644701.0,17179740.0,17723315.0,18278568.0,,0.015394006,-0.023905832,0.050165508,0.00889133,0.012044691,0.017806349,-0.047020428,-0.05853213,-0.083065256,-0.041869577,0.039116725,-0.004919504,0.011340086,,0.306131899,0.294611782,0.526610374,0.401370287,0.504612565,0.540267944,0.562908113,0.48821035,0.566795349,0.474360883,0.525222123,0.614849687,0.650354564,,0.580499589,0.613521934,0.569129646,0.556809187,0.544883072,0.591422617,0.526546359,0.461591184,0.536371291,0.606682658,0.582458258,0.627503157,0.552737296,,-1.625363469,-1.658627391,-1.706331372,-1.563443899,-1.442578197,-1.334058404,-1.19343245,-1.23209095,-1.449967861,-1.154832244,-1.329083443,-1.356479883,,,3.434800625,4.141326904,4.632468224,3.639445066,3.742871046,4.393482208,4.03297472,3.507663012,3.460182905,4.322675228,4.029350281,4.558937073,4.486325264,,7.463717461,7.46249485,7.459868431,7.468581676,7.562782764,7.530396938,7.582166672,7.604434967,7.638511181,7.63390255,7.538164139,7.477691174,7.472574711,,0.724308193,0.478950858,0.570834816,0.645713627,0.733713627,0.81884402,0.672866464,0.714144647,0.733066797,0.751252234,0.616204858,0.660615563,0.57725358
,,,1.03,0.98,1.68,1.46,1.5,1.39,1.16,1.35,1.68,1.72,1.43,1.43,0.6,0.75,1.08,1.02,1.09,1.27,1.33,1.21,1.1,1.09,1.17,1.2,1.49,1.57,1.63,1.65,1.6,1.71,1.89,1.8,2.37,2.39,1.96,1.88,2.21,1.79754,1.78882,1.7633,1.80869,1.83332,2.01,2.26,2.34,2.43,2.32,2.35,2.51,2.55,2.67,2.79,2.85,2.69,2.73,2.76,2.76,8141820.0,8313535.0,8486120.0,8656006.0,8825046.0,8994936.0,9161649.0,9326268.0,9491502.0,9656299.0,9820481.0,9984378.0,10145765.0,10307842.0,10472743.0,10639531.0,10804869.0,10969861.0,11137748.0,11304331.0,11469828.0,11637613.0,11807408.0,11976513.0,12147758.0,12326396.0,12514502.0,12712784.0,12918389.0,13128619.0,13342868.0,13561945.0,13782297.0,13998386.0,14210674.0,14416796.0,14615483.0,14809289.0,14996742.0,15176410.0,15351799.0,15523978.0,15693790.0,15859112.0,16017966.0,16175311.0,16334575.0,16495538.0,16661462.0,16833447.0,17004162.0,17173573.0,17341771.0,17509925.0,17687108.0,17870124.0,18083879.0,18368577.0,18701450.0,19039485.0,19300315.0,19493184.0,19603733.0,19629590.0,,0.160275131,0.235677034,0.075505219,0.140911877,0.099339187,0.1029673,0.186328977,0.075803965,0.20803766,0.03110862,0.09289977,-0.030261263,-0.070615843,,0.744291902,0.66190511,0.640201688,0.746614039,0.786367476,0.700734138,0.733610928,0.736887336,0.733326375,0.76888144,0.652289748,0.790116489,0.78853035,,0.804135978,0.766978681,0.756524146,0.808313727,0.809172988,0.803743482,0.815391183,0.855062187,0.86981076,0.803024709,0.869228899,0.83847481,0.832562208,,0.848233819,0.756018639,0.723349333,0.810039282,0.887606621,0.763231277,0.704023659,0.735013962,0.751715839,0.718928695,0.704101682,0.688375235,,,6.062851906,5.697929859,5.789438725,6.493686199,6.63565588,6.526334763,6.599128723,6.74015379,6.844238281,6.532749653,6.579056263,6.320119381,6.436220646,,9.792030334,9.829441071,9.85385704,9.828087807,9.875193596,9.925136566,9.967881203,9.998721123,10.00763416,10.0220089,10.02634144,10.03306866,10.06591988,,0.835543633,0.814620972,0.803758562,0.831581831,0.85695523,0.819078863,0.855235577,0.862404704,0.861552179,0.827141881,0.841388166,0.879840791,0.890084922
,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.06,0.08,0.1,0.14,0.19,0.24,0.31,0.37,0.35,0.37,0.44,0.52,0.63,0.7,0.78,0.95,1.05,1.09,1.14,0.9172,0.91886,0.95844,0.99466,1.09333,1.17859,1.34,1.43466,1.55,1.58692,1.67,1.75,1.82,1.88,1.86,1.73,1.68,1.66,1.66,1.66,667070000.0,660330000.0,665770000.0,682335000.0,698355000.0,715185000.0,735400000.0,754550000.0,774510000.0,796025000.0,818315000.0,841105000.0,862030000.0,881940000.0,900350000.0,916395000.0,930685000.0,943455000.0,956165000.0,969005000.0,981235000.0,993885000.0,1008630000.0,1023310000.0,1036825000.0,1051040000.0,1066790000.0,1084035000.0,1101630000.0,1118650000.0,1135185000.0,1150780000.0,1164970000.0,1178440000.0,1191835000.0,1204855000.0,1217550000.0,1230075000.0,1241935000.0,1252735000.0,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1345035000.0,1354190000.0,1363240000.0,1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,1411100000.0,1412360000.0,1412175000.0,1410710000.0,,,-0.190669894,-0.107168473,-0.175439507,-0.148573548,-0.201895729,-0.200404897,-0.173714548,-0.232826754,-0.260586292,-0.243756711,-0.191224813,-0.174899161,,,,0.853072047,0.771143258,0.804793596,0.824162364,0.808255136,0.804723918,,,,0.877617598,0.895377696,,0.809295237,0.817485452,0.817443371,0.785805881,0.76526463,0.820073843,0.820784926,0.836430669,0.853974998,0.808910906,0.826144397,0.821097255,0.85578388,,-1.14436698,-1.110035419,-1.095386028,-1.075258732,-1.168804526,-1.119832039,-1.08836174,-1.087599277,-1.069626093,-1.105490565,-1.030307174,-0.87781024,,,4.560495377,4.86286211,4.84629488,4.454360962,4.652736664,5.037207603,5.094917297,5.241090298,5.195619106,5.303877831,5.32495594,5.099061489,5.131433964,,8.765777588,8.893610001,8.980648994,9.065513611,9.161761284,9.248056412,9.318813324,9.388590813,9.453964233,9.515608788,9.575044632,9.636177063,9.694375992,,0.747011304,0.810852408,0.74828732,0.79803437,0.767752588,0.787171185,0.787818193,0.777895868,0.820366025,0.793733716,0.741703033,0.772033215,0.787605345
,3.65,3.53,3.65,3.63,3.2,2.95,2.52,2.6,2.92,2.82,2.78,2.72,2.61,2.86,2.61,3.13,3.12,3.31,3.1,3.68,3.82,3.73,4.11,3.99,4.12,4.27,4.36,4.58,4.4,4.61,4.92,3.84,4.32,4.34,4.33,4.22,3.99,3.95,3.7,2.80126,2.52421,2.64764,2.57712,2.58054,2.76442,2.95321,3.09981,2.98826,2.87862,2.87,2.97,3.07,3.05,3.06,3.2,3.22,3.05,3.09,3.09,15687688.0,16182414.0,16691282.0,17210956.0,17739754.0,18275814.0,18811407.0,19343961.0,19872503.0,20392264.0,20905254.0,21405413.0,21898055.0,22396318.0,22897871.0,23403731.0,23913002.0,24443926.0,25003608.0,25579323.0,26176195.0,26785982.0,27405194.0,28042329.0,28689032.0,29326260.0,29960101.0,30603048.0,31256727.0,31923117.0,32601393.0,33272628.0,33939039.0,34614735.0,35295461.0,35970101.0,36632573.0,37291946.0,37944414.0,38585033.0,39215135.0,39837875.0,40454050.0,41057687.0,41648268.0,42220940.0,42772910.0,43306582.0,43815313.0,44313917.0,44816108.0,45308899.0,45782417.0,46237930.0,46677947.0,47119728.0,47625955.0,48351671.0,49276961.0,50187406.0,50930662.0,51516562.0,51874024.0,52085168.0,,-0.018822361,-0.044508446,-0.046177812,-0.059495844,-0.053958982,-0.077774651,-0.013808967,-0.075136222,-0.094677046,-0.104796246,-0.105361171,-0.162942991,-0.155047998,,0.80466181,0.785865963,0.795083821,0.757100701,0.816121101,0.810907423,0.827868104,0.841173172,0.801191449,0.790897965,0.834966123,0.837554634,0.850765765,,0.799651206,0.808266282,0.803400278,0.842629254,0.83062613,0.831615269,0.845917761,0.850565016,0.84708029,0.839294553,0.793531477,0.836926997,0.825455189,,-1.037163734,-0.984300971,-1.008415937,-0.990759373,-0.834782004,-0.672184885,-0.732900858,-0.686625302,-0.578955114,-0.532614708,-0.380847514,-0.33744511,,,6.024942875,6.138411522,6.168395042,6.271604538,6.40811348,6.463952541,6.374879837,6.606550694,6.44878912,6.387571812,6.233715057,6.157341957,5.983512402,,9.186061859,9.240573883,9.26362133,9.268606186,9.296564102,9.349796295,9.379259109,9.417053223,9.450613976,9.471579552,9.483036041,9.492126465,9.511734009,,0.910293102,0.893706799,0.880066812,0.885926604,0.892992675,0.904147327,0.914372623,0.900777876,0.907402635,0.889900029,0.88190037,0.909249961,0.870970428
,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.06,0.06,0.07,0.09,0.07,0.07,0.07,0.06,0.05,0.06,0.07,0.01,0.02,0.04,0.05,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.11,0.13,0.15,0.12979,0.04923,0.03707,0.04186,0.03,0.02,0.03,0.06,0.03,0.04,0.04,0.04,0.04,0.04,194852.0,198617.0,202527.0,206546.0,210665.0,214939.0,219369.0,224321.0,229971.0,236002.0,242351.0,249066.0,256187.0,263728.0,271719.0,280036.0,288810.0,298152.0,307938.0,318123.0,328328.0,337986.0,347053.0,356137.0,365664.0,375650.0,386068.0,396887.0,408070.0,419584.0,431119.0,442277.0,452990.0,463318.0,473478.0,483760.0,494288.0,505033.0,515959.0,526443.0,536758.0,547741.0,559047.0,570130.0,581154.0,592683.0,604658.0,616899.0,629470.0,642493.0,656024.0,670071.0,684553.0,699393.0,714612.0,730216.0,746232.0,761664.0,776313.0,790986.0,806166.0,821625.0,836774.0,852075.0,,,,,-0.028261324,0.051737364,-0.027397813,-0.073209994,,,,,,0.136247516,,,,,0.507845283,0.528675258,0.499673873,0.534040928,,,,,,0.560182333,,,,,0.671982408,0.72750777,0.666620076,0.612241328,,,,,,0.74774158,,,,,-0.554365277,-0.492613316,-0.463344038,-0.459228456,,,,,,,,,,,3.47602725,3.81219101,3.838485956,3.955640316,,,,,,3.972819567,,,,,7.255482197,7.253118515,7.254610538,7.259981155,,,,,,7.260142326,,,,,0.629426777,0.721342921,0.721832752,0.719217896,,,,,,0.621302962
,0.64,0.58,0.56,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.63,0.86,0.91,0.87,0.72,0.61,0.6,0.61,0.61,0.61,0.56,0.56,0.58,0.56,0.85,0.83,0.89,0.79,0.93,1.07,0.79,0.84,0.97,0.94,0.91,0.89,0.88,0.85,2.25183,2.23725,2.23207,2.2463,2.24261,2.29697,2.34611,2.43741,2.50001,2.47468,2.09,2.2,2.16,2.14,2.19,2.26,2.5,2.36,2.39,2.17,1346302.0,1396138.0,1447037.0,1498647.0,1550661.0,1602736.0,1654619.0,1706062.0,1756333.0,1805968.0,1855697.0,1905486.0,1955547.0,2006247.0,2058235.0,2111850.0,2167544.0,2225630.0,2286210.0,2349258.0,2414303.0,2481334.0,2550780.0,2622532.0,2696200.0,2771463.0,2847849.0,2924595.0,3001461.0,3079001.0,3158253.0,3239414.0,3321939.0,3405372.0,3489152.0,3572856.0,3656234.0,3739421.0,3821421.0,3901430.0,3979193.0,4053222.0,4122623.0,4188610.0,4252800.0,4315887.0,4378172.0,4440019.0,4501921.0,4563127.0,4622252.0,4679926.0,4736593.0,4791535.0,4844288.0,4895242.0,4945205.0,4993842.0,5040734.0,5084532.0,5123105.0,5153957.0,5180829.0,5212173.0,,0.063775502,0.101136722,0.09891393,0.068597339,0.050662898,-0.029892458,0.048832808,0.021019099,0.012461432,-0.056339074,-0.029768212,-0.073179178,-0.104196012,,0.882419884,0.922735691,0.912005961,0.886061072,0.881029606,0.926105797,0.92891407,0.897879303,0.926707387,0.906925678,0.872971952,0.93561846,0.941888332,,0.867740154,0.875298917,0.844216704,0.876205921,0.886287093,0.875645041,0.896885216,0.850212753,0.83678627,0.84970957,0.87358439,0.874395847,0.870097816,,0.826850057,0.759399533,0.663537145,0.796451211,0.865713358,0.781069398,0.863311112,0.878200769,0.857882202,0.91676259,0.889451802,0.815186501,,,7.082465172,7.432132244,6.850679874,7.614928722,7.271053791,7.228888512,7.272250175,7.158000469,7.247086048,6.854004383,7.135617733,7.22518158,7.141074657,,9.363595009,9.428125381,9.459926605,9.436995506,9.472703934,9.502802849,9.538064003,9.549329758,9.573064804,9.598225594,9.628722191,9.650206566,9.669425964,,0.936938047,0.917678237,0.915759027,0.899781644,0.915141284,0.89204818,0.902206898,0.902069271,0.914211214,0.878272951,0.900701284,0.92169714,0.875872433
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,3.13,2.87,3.9,3.17,3.49,3.29,4.09,4.15,4.1,4.42,4.38,4.56,5.14744,5.26105,5.03521,5.13769,4.93928,4.8518,4.97896,5.12108,5.01515,4.74445,4.48,4.73,4.55,4.61,4.25,4.55,4.62,4.65,4.75,4.75,4140181.0,4167292.0,4196712.0,4225675.0,4252876.0,4280923.0,4310701.0,4338683.0,4365628.0,4391490.0,4412252.0,4431275.0,4450564.0,4470161.0,4490660.0,4512082.0,4535934.0,4559571.0,4581085.0,4594778.0,4599782.0,4611509.0,4634234.0,4658254.0,4680285.0,4701417.0,4721446.0,4739745.0,4755207.0,4767260.0,4777368.0,4689022.0,4575818.0,4600463.0,4652024.0,4620030.0,4557097.0,4534920.0,4532135.0,4512597.0,4468302.0,4299642.0,4302174.0,4303399.0,4304600.0,4310145.0,4311159.0,4310217.0,4309705.0,4305181.0,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,4065253.0,4047680.0,3878981.0,3855641.0,3853200.0,,,-0.091652445,,-0.270456344,-0.236907497,-0.199542955,-0.244161829,-0.205661803,0.130300209,-0.098292612,-0.06632413,-0.105906412,-0.15252924,,,0.662205756,,0.549258351,0.564372659,0.516932428,0.541909754,0.626699686,0.518878043,0.693523049,0.671970546,0.715822279,0.690855622,,,0.586316049,,0.636663139,0.606828213,0.59750998,0.621574581,0.58999753,0.59617871,0.608886182,0.613685668,0.655305028,0.582044125,,,0.561347961,,0.548932552,0.542445958,0.572414756,0.573861003,0.578204632,0.567026317,0.573095977,0.594130158,0.628294408,,,,5.820907593,,5.433319569,5.595575333,5.385372639,6.027634621,5.885462761,5.380692482,5.205438137,5.416875362,5.343165874,5.536271095,,,9.978619576,,9.923801422,9.91204834,9.940322876,9.920677185,9.916960716,9.920071602,9.951515198,9.98966217,10.02878857,10.06575108,,,0.909822166,,0.860663235,0.796391606,0.789738715,0.775817871,0.751262069,0.645697773,0.768363416,0.798332155,0.770309687,0.909806848
,1.34,0.88,0.98,1.1,1.02,0.97,1.31,0.74,0.56,0.9,1.08,1.36,1.54,1.42,1.63,1.69,1.68,1.68,1.61,1.61,1.5,1.58,1.65,1.63,1.67,1.75,1.92,1.89,1.87,1.23,0.71,1.14,0.81,0.75,0.83,0.93,0.86,1.14,1.16,1.32635,1.30938,1.31357,1.5077,1.52205,1.47894,1.56206,1.5997,1.65198,1.58365,1.62,1.64,1.66,1.71,1.75,1.8,1.73,1.74,1.77,1.77,7267395.0,7418518.0,7574265.0,7736352.0,7902286.0,8067651.0,8230450.0,8390962.0,8550286.0,8709654.0,8869636.0,9025709.0,9169289.0,9297924.0,9413105.0,9514305.0,9600862.0,9672546.0,9729986.0,9774711.0,9809107.0,9848560.0,9908874.0,9984591.0,10065539.0,10149044.0,10235480.0,10326910.0,10425433.0,10527187.0,10626680.0,10713812.0,10783748.0,10840934.0,10887207.0,10926703.0,10963031.0,10998129.0,11033758.0,11070094.0,11105791.0,11139127.0,11170051.0,11199217.0,11225294.0,11246114.0,11260630.0,11269887.0,11276609.0,11283185.0,11290417.0,11298710.0,11309290.0,11321579.0,11332026.0,11339894.0,11342012.0,11336405.0,11328244.0,11316697.0,11300698.0,11256372.0,11212191.0,11194449.0,,,,,,,,,,,,,,,,0.281457931,,,,,,,,,,,,,,0.646711767,,,,,,,,,,,,,,-0.706359327,,,,,,,,,,,,,,5.417868614,,,,,,,,,,,,,,9.67642498,,,,,,,,,,,,,,0.969595134,,,,,,,,,,,,
,0.63,0.71,0.7,0.79,0.95,0.87,0.89,0.91,1.11,1.15,1.28,1.44,1.52,1.3,1.29,1.32,1.62,1.81,2.07,2.16,2.31,2.43,2.62,2.65,2.81,2.96,3.13,3.39,3.62,3.8,3.61,4.03,3.65,3.8,3.57,3.3,3.28,3.44,3.57,3.69201,3.71445,3.50048,3.56083,3.60157,3.62488,3.58104,3.70999,3.89908,3.68877,3.79,3.54,3.49,3.32,3.22,2.85,2.85,2.85,2.85,2.85,585725.0,594771.0,601095.0,607072.0,612338.0,617345.0,622566.0,627695.0,632452.0,636821.0,640804.0,644413.0,647620.0,650705.0,648585.0,644982.0,648868.0,656414.0,663975.0,671611.0,679327.0,687170.0,696227.0,707477.0,719678.0,731664.0,743446.0,755021.0,766412.0,777592.0,788500.0,799061.0,810431.0,825986.0,844444.0,862418.0,880058.0,897471.0,914660.0,931600.0,948237.0,964830.0,982194.0,1000350.0,1018684.0,1037062.0,1055438.0,1073873.0,1092390.0,1110974.0,1129686.0,1145086.0,1156556.0,1166968.0,1176995.0,1187280.0,1197881.0,1208523.0,1218831.0,1228836.0,1237537.0,1244188.0,1251488.0,1260138.0,,0.012041689,,,0.048067018,0.066810891,0.174038678,0.092312515,0.095890798,0.053457368,0.108338967,-0.033245489,0.040062714,,,0.836101174,,,0.774590671,0.755362809,0.745468855,0.724629581,0.656267941,0.715065658,0.62803483,0.756220996,0.811670661,0.794215024,,0.82941252,,,0.746213078,0.786111474,0.763074279,0.755316854,0.747811615,0.737284124,0.746730089,0.742049396,0.784188449,0.750122488,,0.795910895,,,0.728601813,0.737917781,0.830783844,0.828574777,0.772084951,0.785926223,0.791189313,0.825391352,0.827816248,,,6.237958431,,,6.833477497,6.386546135,6.689608574,6.180507183,5.438952446,5.627123833,5.439161301,5.794618607,6.062051296,6.276443005,,10.451581,,,10.44544411,10.43238258,10.41007519,10.36377907,10.30492973,10.30179977,10.32709026,10.35237598,10.3863802,,,0.878201067,,,0.811736107,0.822123706,0.843654513,0.767177105,0.744032085,0.770175993,0.769556105,0.786438465,0.818671048,0.825573206
,5.03,5.05,5.18,5.51,5.15,5.81,5.98,6.16,6.67,7.07,6.6,7.03,7.37,7.25,7.59,7.65,7.46,7.48,7.65,7.68,7.86,8.03,8.31,8.0,7.44,7.67,7.17,7.27,7.45,7.45,7.25,7.29,7.25,7.34,7.27,7.14,6.92,6.41,6.24,5.74827,5.56085,5.47469,5.46981,5.10118,5.04888,4.91805,4.76388,4.51206,4.1285,3.86,3.81,3.55,3.48,3.57,3.45,3.56,3.44,3.45,3.42,4579603.0,4611687.0,4647727.0,4684483.0,4722072.0,4759012.0,4797381.0,4835354.0,4864883.0,4891860.0,4928757.0,4963126.0,4991596.0,5021861.0,5045297.0,5059862.0,5072596.0,5088419.0,5104248.0,5116801.0,5123027.0,5121572.0,5117810.0,5114297.0,5111619.0,5113691.0,5120534.0,5127024.0,5129516.0,5132594.0,5140939.0,5154298.0,5171370.0,5188628.0,5206180.0,5233373.0,5263074.0,5284991.0,5304219.0,5321799.0,5339616.0,5358783.0,5375931.0,5390574.0,5404523.0,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,5814422.0,5831404.0,5856733.0,5903037.0,5946952.0,,,0.235315859,0.267412931,0.259048522,0.237896979,0.292957395,0.134191722,0.210207686,0.113418654,0.217952549,0.134531945,0.152028441,0.015592853,0.97113502,,0.932086229,0.969788373,0.949335575,0.943630815,0.934760153,0.932627916,0.920254648,0.941572249,0.94143641,0.948230565,0.955416322,0.935437799,0.859549046,,0.827859938,0.756865501,0.74894917,0.784826636,0.769436002,0.773763597,0.862346828,0.832482934,0.829217494,0.836115718,0.823667407,0.821422637,1.40714407,,1.297693014,1.301802397,1.269446611,1.291459084,1.325999975,1.29451251,1.312752008,1.238178492,1.225186348,1.204600453,1.190443397,,8.01893425,,7.834233284,7.970891953,7.683358669,7.770515442,7.78823185,7.519909382,7.588606834,7.507559299,7.514424801,7.55778265,7.593702316,7.648785591,10.70477009,,10.74448395,10.73347473,10.67781448,10.69190979,10.70107079,10.69957066,10.70469189,10.71568489,10.72455978,10.73620605,10.75112534,10.75559425,0.972371519,,0.954201102,0.953911722,0.93889159,0.974977076,0.961736143,0.951437175,0.964707971,0.956344306,0.9597013,0.954451501,0.952100098,0.958218873
